ID,CLASS
1,1
2,0
3,1
4,0
5,0
6,1
7,0
8,1
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,0
52,1
53,1
54,0
55,0
56,0
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,1
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,0
87,0
88,0
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,1
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,1
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,1
117,0
118,0
119,1
120,0
121,0
122,1
123,1
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,1
137,0
138,0
139,1
140,1
141,1
142,1
143,1
144,0
145,1
146,1
147,0
148,1
149,0
150,1
151,0
152,1
153,1
154,1
155,1
156,0
157,1
158,1
159,0
160,1
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,1
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,1
194,1
195,0
196,1
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,1
213,1
214,1
215,0
216,0
217,0
218,1
219,1
220,1
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,1
229,0
230,1
231,0
232,1
233,0
234,0
235,0
236,1
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,1
246,0
247,1
248,0
249,1
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,1
259,1
260,0
261,0
262,1
263,0
264,1
265,1
266,0
267,1
268,1
269,1
270,0
271,0
272,0
273,1
274,0
275,1
276,0
277,1
278,0
279,0
280,0
281,1
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,0
298,0
299,0
300,0
301,1
302,0
303,1
304,1
305,0
306,0
307,0
308,1
309,0
310,1
311,1
312,0
313,1
314,0
315,1
316,1
317,1
318,0
319,0
320,0
321,1
322,1
323,0
324,1
325,0
326,0
327,1
328,0
329,0
330,0
331,0
332,1
333,0
334,1
335,0
336,1
337,0
338,1
339,0
340,1
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,1
350,0
351,0
352,0
353,0
354,0
355,1
356,1
357,0
358,1
359,0
360,0
361,1
362,1
363,1
364,1
365,1
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,1
374,0
375,0
376,1
377,1
378,1
379,1
380,0
381,0
382,1
383,1
384,0
385,0
386,0
387,0
388,0
389,1
390,0
391,0
392,1
393,0
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,1
405,1
406,0
407,0
408,0
409,0
410,1
411,0
412,0
413,1
414,0
415,0
416,1
417,1
418,0
419,0
420,0
421,1
422,1
423,0
424,0
425,1
426,0
427,0
428,0
429,0
430,1
431,0
432,0
433,0
434,0
435,1
436,0
437,0
438,0
439,0
440,1
441,1
442,0
443,0
444,0
445,0
446,0
447,1
448,0
449,0
450,1
451,0
452,1
453,1
454,1
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,0
476,0
477,1
478,0
479,1
480,0
481,0
482,0
483,1
484,1
485,1
486,1
487,0
488,1
489,1
490,0
491,0
492,1
493,1
494,0
495,0
496,1
497,1
498,1
499,1
500,0
501,1
502,1
503,1
504,1
505,0
506,1
507,0
508,0
509,0
510,0
511,0
512,1
513,1
514,1
515,0
516,1
517,1
518,0
519,1
520,0
521,1
522,0
523,1
524,1
525,0
526,0
527,0
528,1
529,1
530,1
531,0
532,0
533,0
534,0
535,0
536,0
537,1
538,1
539,0
540,1
541,0
542,0
543,0
544,1
545,0
546,1
547,0
548,0
549,0
550,1
551,0
552,0
553,1
554,1
555,1
556,0
557,1
558,1
559,0
560,1
561,1
562,0
563,0
564,0
565,0
566,0
567,1
568,1
569,1
570,1
571,0
572,1
573,1
574,0
575,1
576,0
577,0
578,1
579,1
580,1
581,1
582,1
583,1
584,0
585,1
586,1
587,0
588,0
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,1
600,0
601,0
602,0
603,0
604,1
605,0
606,1
607,1
608,0
609,0
610,0
611,0
612,1
613,1
614,1
615,1
616,0
617,1
618,0
619,0
620,1
621,0
622,0
623,1
624,0
625,1
626,0
627,1
628,0
629,1
630,1
631,1
632,0
633,0
634,1
635,1
636,1
637,1
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,1
648,0
649,0
650,0
651,1
652,0
653,1
654,0
655,1
656,1
657,1
658,0
659,0
660,0
661,0
662,0
663,1
664,0
665,0
666,0
667,0
668,0
669,0
670,1
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,1
680,0
681,1
682,0
683,0
684,1
685,0
686,1
687,0
688,1
689,0
690,0
691,1
692,0
693,0
694,0
695,0
696,1
697,0
698,1
699,1
700,0
701,1
702,0
703,0
704,1
705,0
706,0
707,1
708,0
709,0
710,0
711,0
712,0
713,1
714,0
715,0
716,0
717,0
718,1
719,0
720,0
721,0
722,1
723,1
724,0
725,0
726,0
727,1
728,1
729,1
730,0
731,1
732,1
733,1
734,1
735,1
736,1
737,0
738,1
739,1
740,0
741,0
742,0
743,0
744,1
745,0
746,1
747,0
748,0
749,1
750,1
751,0
752,0
753,1
754,0
755,0
756,0
757,0
758,1
759,0
760,1
761,0
762,1
763,0
764,1
765,1
766,0
767,1
768,1
769,0
770,1
771,1
772,0
773,1
774,1
775,1
776,1
777,1
778,0
779,1
780,0
781,1
782,1
783,1
784,0
785,1
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,0
797,0
798,0
799,1
800,1
801,0
802,0
803,0
804,1
805,1
806,1
807,0
808,0
809,1
810,1
811,0
812,0
813,1
814,0
815,1
816,0
817,0
818,0
819,0
820,0
821,1
822,0
823,1
824,1
825,1
826,1
827,0
828,0
829,0
830,0
831,1
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
